Prev Close,Open,High,Low,VWAP,Volume,Turnover,Close
308.15,306,311.85,304.5,309.18,11571900,3.58E+14,308.9
308.9,312,315,309.8,312.19,10935550,3.41E+14,313.6
313.6,317.5,320.5,316.05,318.78,10125400,3.23E+14,317.3
317.3,317.4,324.95,317,321.58,14667500,4.72E+14,324
324,326,328.5,320.5,325.16,11054900,3.59E+14,322.9
322.9,320.9,322,313.25,316.72,9620100,3.05E+14,315.35
315.35,319,323,318.15,320.54,9711150,3.11E+14,319.85
319.85,326,329.45,322.35,325.85,8534650,2.78E+14,323.75
323.75,321,344,319.55,333.16,20688800,6.89E+14,341.9
341.9,346.05,365.5,345.5,357.4,25444500,9.09E+14,359.7
359.7,363.5,371.7,363.25,366.9,13362050,4.90E+14,365.05
365.05,365,372,363.2,367.23,10939200,4.02E+14,368.85
368.85,379,383.9,366,373.37,25120400,9.38E+14,368.55
368.55,368.25,390,352.1,376.52,41989250,1.58E+15,379.7
379.7,376.8,378.5,368.5,373.44,14258200,5.32E+14,369.65
369.65,365,369.9,361.55,365.22,14404300,5.26E+14,368.35
368.35,372,373.8,362,368.3,15785650,5.81E+14,365.7
365.7,370.45,376.9,368,372.59,12590100,4.69E+14,370.15
370.15,368.25,371.5,364.1,367.23,8066750,2.96E+14,365.25
365.25,366.25,367.25,356.7,361.64,11064850,4.00E+14,358.95
358.95,358,365.25,357.35,362.34,9823300,3.56E+14,360.35
360.35,359.55,361.75,354,357.42,11029300,3.94E+14,356
356,364,366.8,363,364.79,7679100,2.80E+14,365.45
365.45,368,372,364.5,369.45,12326050,4.55E+14,367.05
367.05,362.4,363,357.3,359.98,8651050,3.11E+14,358.75
358.75,356.1,358,344,350.42,11318000,3.97E+14,346.1
346.1,348.75,351.4,345.5,348.1,9647900,3.36E+14,347.65
347.65,353,355.9,349.1,352.87,10539000,3.72E+14,350.8
350.8,351,352.5,347.55,350.27,6988650,2.45E+14,350
350,345,345.9,342.25,344.26,4019400,1.38E+14,345.15
345.15,347,347.4,342.75,345.09,5851100,2.02E+14,344.3
344.3,348,361.5,347.75,355.7,14504800,5.16E+14,360.15
360.15,363,364.9,353,359.97,11713550,4.22E+14,355
355,353,354.4,346.05,350.83,10809800,3.79E+14,350.85
350.85,352,354,349,351.26,5526950,1.94E+14,351.65
351.65,351,355,350.05,352.74,8608500,3.04E+14,354.4
354.4,356.85,358.75,352.55,355.53,4872200,1.73E+14,353.4
353.4,354.25,360.9,352.7,358.04,8748900,3.13E+14,360
360,360.95,364.7,359.5,362.06,10808350,3.91E+14,363.75
363.75,365,366.45,361.8,364.41,7428300,2.71E+14,362.85
362.85,364,373,362.25,367.38,9478850,3.48E+14,371
371,374,375,370.1,372.28,1517900,5.65E+13,373.25
373.25,362.15,378,362.15,372.55,17387150,6.48E+14,372.65
372.65,370.1,374.2,370,372.38,6845200,2.55E+14,372.65
372.65,372,379.35,370.25,375.14,10058100,3.77E+14,378.2
378.2,379.35,385.5,375,381.53,12596550,4.81E+14,378.55
378.55,373.9,376.6,372,374.45,6075400,2.27E+14,374.5
374.5,373.5,375.85,372.05,373.47,5319400,1.99E+14,372.8
372.8,371.95,371.95,364.15,366.32,4622550,1.69E+14,365.25
365.25,365.95,367.75,360,364.2,6195750,2.26E+14,362.1
362.1,362.5,366.45,360.35,363.29,5661200,2.06E+14,365.8
365.8,366.95,368,358.3,360.77,4758750,1.72E+14,359.15
359.15,358.5,360,347.5,352.31,9703450,3.42E+14,348.25
348.25,345.7,345.7,336,340.68,10295750,3.51E+14,339.95
339.95,341,346.4,339.35,342.52,9893000,3.39E+14,341.55
341.55,351.9,359.9,346.5,350.43,6359050,2.23E+14,347.35
347.35,345.35,347,338.05,342.13,7719750,2.64E+14,339.15
339.15,338.1,338.9,327.9,333.13,10520650,3.50E+14,330.3
330.3,330.75,339.9,330,335.29,9869050,3.31E+14,338.05
338.05,340,342.7,332.5,337.83,10907700,3.68E+14,338.7
338.7,344.5,346.45,338.5,342.67,9627150,3.30E+14,340.25
